k,ext_degree,hash,profile,schedule,rounds,proof_KB,prover_time,verifier_time
16,8,SHA3-256,balanced,"[8, 16, 8, 8, 8, 8]",6,148.38,4.0562e+07,1.5162e+05
16,8,SHA3-256,on_chain,"[16, 8, 8, 8, 8, 8]",6,147.44,4.2430e+07,1.5012e+05
16,8,SHA3-256,base_binary,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",19,232.22,6.5012e+07,3.1331e+05
16,8,SHA3-256,base_arity-4,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 2]",10,147.56,4.2992e+07,1.7786e+05
16,8,SHA3-256,base_arity-8,"[8, 8, 8, 8, 8, 8, 2]",7,141.84,4.0295e+07,1.5035e+05
17,8,SHA3-256,proof_size,"[16, 16, 8, 8, 8, 8]",6,163.38,8.5127e+07,1.6338e+05
17,8,SHA3-256,prover,"[8, 8, 16, 16, 8, 8]",6,167.12,8.0661e+07,1.6938e+05
17,8,SHA3-256,verifier,"[16, 16, 8, 8, 8, 8]",6,163.38,8.5127e+07,1.6338e+05
17,8,SHA3-256,balanced,"[8, 16, 16, 8, 8, 8]",6,165.25,8.1157e+07,1.6638e+05
17,8,SHA3-256,on_chain,"[16, 16, 8, 8, 8, 8]",6,163.38,8.5127e+07,1.6338e+05
17,8,SHA3-256,base_binary,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",20,253.81,1.3002e+08,3.4480e+05
17,8,SHA3-256,base_arity-4,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",10,159.75,8.5983e+07,1.9430e+05
17,8,SHA3-256,base_arity-8,"[8, 8, 8, 8, 8, 8, 4]",7,151.22,8.0590e+07,1.6229e+05
18,8,SHA3-256,proof_size,"[8, 16, 16, 16, 8, 8]",6,183.06,1.6232e+08,1.8264e+05
18,8,SHA3-256,prover,"[8, 8, 8, 16, 16, 16]",6,188.69,1.6120e+08,1.9164e+05
18,8,SHA3-256,verifier,"[8, 16, 16, 16, 8, 8]",6,183.06,1.6232e+08,1.8264e+05
18,8,SHA3-256,balanced,"[8, 16, 16, 16, 8, 8]",6,183.06,1.6232e+08,1.8264e+05
18,8,SHA3-256,on_chain,"[16, 16, 16, 8, 8, 8]",6,180.25,1.7029e+08,1.7814e+05
18,8,SHA3-256,base_binary,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",21,276.34,2.6005e+08,3.7779e+05
