csv,air_type,air_w,air_constraints,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct,delta_prove_pct,delta_verify_pct,delta_throughput_pct
csv,fib_w2_d2,2,1,16by2by8,18,[16,16,8,128],521200,0.698503,2.039,375294.200559,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by2by8,19,[16,16,8,256],698032,1.422126,3.775,368664.834646,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by2by8,20,[16,16,8,512],710320,2.861384,5.807,366457.667690,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by2by8,21,[16,16,8,1024],804784,5.721349,10.115,366548.545192,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by2by8,22,[16,16,8,2048],853936,11.538429,18.862,363507.375695,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by2by8,23,[16,16,8,4096],952240,23.876527,36.961,351332.831575,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by2by8,24,[16,16,8,8192],1158256,54.696220,73.357,306734.469272,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by2by8,25,[16,16,8,16384],1611952,137.671798,153.446,243727.709727,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by16,12,[16,16,16],201008,0.013025,0.599,314483.227126,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by16,13,[16,16,16,2],288016,0.026908,0.673,304446.189080,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by16,14,[16,16,16,4],290800,0.049581,0.687,330448.330892,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by16,15,[16,16,16,8],296368,0.096916,0.780,338108.388606,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by16,16,[16,16,16,16],307504,0.181871,0.828,360344.063259,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by16,17,[16,16,16,32],410416,0.362491,1.083,361587.198639,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by16,18,[16,16,16,64],454960,0.711029,1.464,368682.722723,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by16,19,[16,16,16,128],544048,1.403182,2.096,373642.259814,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by16,20,[16,16,16,256],720880,2.788919,3.439,375979.310699,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by16,21,[16,16,16,512],813808,5.663442,6.075,370296.381139,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by16,22,[16,16,16,1024],838384,11.343924,10.356,369740.150705,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by16,23,[16,16,16,2048],887536,23.428857,18.894,358045.980411,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by16,24,[16,16,16,4096],985840,52.587390,36.507,319034.965598,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by16,25,[16,16,16,8192],1263088,132.655277,74.301,252944.569451,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,32by`6by8,12,[32,16,8],254384,0.013166,0.608,311099.444882,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,32by`6by8,13,[32,16,8,2],290704,0.023784,0.656,344437.461139,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,32by`6by8,14,[32,16,8,4],313648,0.045969,0.704,356410.546402,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,32by`6by8,15,[32,16,8,8],319216,0.091581,0.769,357804.779450,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,32by`6by8,16,[32,16,8,16],381424,0.180740,0.910,362598.708917,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,32by`6by8,17,[32,16,8,32],423856,0.340284,1.119,385184.658740,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,32by`6by8,18,[32,16,8,64],488560,0.678492,1.462,386362.484914,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,32by`6by8,19,[32,16,8,128],587056,1.359276,2.175,385711.181383,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,32by`6by8,20,[32,16,8,256],763888,2.764426,3.520,379310.580744,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,32by`6by8,21,[32,16,8,512],838000,5.572890,5.843,376313.210078,0.00,0.00,0.00,0.00
